country,country_code,gini,gdp_per_capita,happiness_score,percent_gdp_social_spending,compassion_score
Argentina,ARG,0.40736493,13935.6811110049,5.9670000076293945,,0.3581725305081921
Armenia,ARM,0.27945295,6571.97445545099,5.398600101470947,,-0.27482535214097525
Australia,AUS,0.34332561,64997.0136536475,7.162099838256836,22.902,0.7321318916525196
Bangladesh,BGD,0.33373156,2716.48592677835,5.1554999351501465,,-0.10401760877730581
Bolivia,BOL,0.40913323,3643.92826968677,5.600299835205078,,-0.7208193200474097
Brazil,BRA,0.5201522,9281.33334441234,6.292799949645996,,-0.3601441419403302
Canada,CAN,0.31749648,55509.393176404,7.025100231170654,,0.7327119676688788
Chile,CHL,0.4304274,15451.1319576678,6.171800136566162,20.927,-0.09032571117161704
China,CHN,0.35743752,12662.5826712038,5.585299968719482,,0.045802273696292896
Colombia,COL,0.5481926,6674.59601948063,5.780600070953369,17.379,-0.5735144332293383
Cyprus,CYP,0.3125177,33938.9453125,6.220900058746338,,-0.14902347088100806
Cyprus,CYP,0.3125177,33938.9453125,5.466599941253662,,-0.14902347088100806
Czechia,CZE,0.26202103,28282.2236715857,6.9197998046875,20.761,0.2191020509712379
Ecuador,ECU,0.45465034,6540.99824522101,5.533299922943115,,-0.7910352570564951
Ethiopia,ETH,0.34993124,1011.0732858233,4.241499900817871,,-0.010633374349771397
Germany,DEU,0.3243345,49686.1154582583,7.03410005569458,28.542,0.5077441939317231
Greece,GRC,0.32939574,20971.8349258283,5.948200225830078,22.452,-0.31331026836624815
Guatemala,GTM,0.4827621,5358.08963795,6.262199878692627,,-0.283328034489033
India,IND,0.3277978,2352.61392452078,3.777100086212158,,0.22171494786505608
Indonesia,IDN,0.3551203,4730.74548910499,5.23960018157959,,-0.4548021442503558
Iran,IRN,0.34803438,4405.09291519791,4.887899875640869,,0.03199063251801942
Iraq,IRQ,0.29541856,6504.12428393548,4.940899848937988,,-0.05659830058647225
Japan,JPN,0.3285473,34017.2718075024,6.038899898529053,26.869,-0.15140704382111178
Jordan,JOR,0.3365573,4332.25159897931,4.152100086212158,,0.13600577249529863
Kazakhstan,KAZ,0.29191533,11255.3396437881,6.234099864959717,,-0.03024070817237825
Kenya,KEN,0.3870143,2109.56288513137,4.543000221252441,,-0.15642360028689603
Kyrgyzstan,KGZ,0.26352528,1739.72030814894,5.828499794006348,,-0.04931198217936466
Lebanon,LBN,0.3183245,3654.35845534878,2.955300092697144,,-0.22949963003132084
Malaysia,MYS,0.40668428,11748.0919307944,5.711299896240234,,-0.014629456667935553
Mexico,MEX,0.4345403,11385.4070757929,6.127600193023682,9.418,-0.6167685459538298
Mongolia,MNG,0.31416476,4993.51487463495,5.760700225830078,,-0.11840133102770388
Morocco,MAR,0.39548507,3455.39624023438,5.059899806976318,,-0.2152932680922572
Myanmar,MMR,0.3069687,1158.05005034332,4.394199848175049,,-0.1170925805143292
Netherlands,NLD,0.2574387,59123.318556487,7.414899826049805,27.017,1.0695265927346764
Nicaragua,NIC,0.46156293,2325.16737851871,6.164599895477295,,-0.707871772647804
Nigeria,NGA,0.35127744,2139.37478476974,4.552000045776367,,-0.25060465952377275
Pakistan,PAK,0.29589266,1538.3228133171,4.5157999992370605,,-0.10507820186425992
Peru,PER,0.40349188,7363.27206939639,5.559100151062012,,-0.8973031954117451
Philippines,PHL,0.37268466,3548.06930572116,5.903600215911865,,-0.005274852145933257
Romania,ROU,0.3385264,15557.8826247584,6.477000236511231,,-0.40889577447144343
Russia,RUS,0.36068243,15445.2421875,5.458600044250488,,-0.005256091013591527
Serbia,SRB,0.3312897,10022.9688543402,6.177999973297119,,0.04565476388625298
Slovakia,SVK,0.2411022,21342.7666714692,6.390699863433838,18.443,0.10362126294233051
South Korea,KOR,0.32906574,32394.6833725203,5.935100078582764,18.654,-0.06352797395186718
Tajikistan,TJK,0.3399559,1052.17949484894,5.377099990844727,,-0.3928326210413184
Thailand,THA,0.34923872,6909.35997481451,5.891200065612793,,0.1072893264972469
Tunisia,TUN,0.33716425,3678.40023411347,4.515999794006348,,-0.22120500108305954
Turkey,TUR,0.44364843,10674.504157865,4.744200229644775,11.054,-0.05900577943183132
Ukraine,UKR,0.25627363,4199.6708984375,5.084099769592285,,0.11097862040449558
United Kingdom,GBR,0.32414576,45935.9276473925,6.942500114440918,26.008,0.8247218689935608
United States,USA,0.41334125,78035.1753604212,6.976799964904785,33.242,0.4203304583085855
Uruguay,URY,0.40551677,20691.9738991763,6.473599910736084,,0.03556585591840953
Uzbekistan,UZB,0.31184828,2578.66689394219,6.062699794769287,,-0.15225413657004908
Vietnam,VNM,0.36093006,4116.38576094153,5.485000133514404,,0.1436130623245446
Zimbabwe,ZWE,0.5025645,2040.55245910726,2.9951000213623047,,-0.1731462138751761
